refArea,Potable water source - water point,State of the water network - good,State of the water network - acceptable,Potable water source - gallons purchase,Potable water source - artesian well,Total number of permanent water springs,State of the water network - bad,Observation URI,references,Potable water source - public network,publisher,Potable water source - other,Town,Total number of seasonal water springs,dataset,Total number of seasonal water points
http://dbpedia.org/resource/Batroun_District,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aabrine,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aabrine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Zgharta_District,0,0,1,0,0,5,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aachach,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aachach,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aachqout,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aachqout,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Marjeyoun_District,0,0,1,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aadaysseh+Marjaayoun,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aadaysseh Marjaayoun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aadchit+Ech-Chqif,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aadchit Ech-Chqif,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Marjeyoun_District,0,0,0,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aadchit+El-Qoussair,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aadchit El-Qoussair,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Sidon_District,0,0,1,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aadloun,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aadloun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Sidon_District,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aadoussiyeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aadoussiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/North_Governorate,0,1,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aafsdiq,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aafsdiq,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,0,0,1,0,1,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Aanoub,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Aanoub,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Beqaa_Governorate,1,0,0,0,1,4,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Aarab+Rachaya,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Aarab Rachaya,10,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Beqaa_Governorate,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Aata,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Aata,4,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,2
http://dbpedia.org/resource/Aley_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Dara,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Dara,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,1,0,0,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Drafil,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Drafil,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,2
http://dbpedia.org/resource/Sidon_District,0,0,0,0,1,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Ed-Delb,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Ed-Delb,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Byblos_District,0,0,1,0,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Ed-Delbe,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ed-Delbe,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,0,0,1,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Ej-Jdideh+Aaley,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ej-Jdideh Aaley,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,0,1,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+El+Saydeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain El Saydeh,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Byblos_District,1,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+El-Ghouaybeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain El-Ghouaybeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+El-Kharroubeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain El-Kharroubeh,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,0,0,1,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+El-Qabu,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain El-Qabu,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Er-Rihane,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Er-Rihane,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,0,0,0,1,0,6,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Er-Roummaneh+Aaley,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Er-Roummaneh Aaley,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,0,0,1,0,0,5,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Es-Sindiane,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Es-Sindiane,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,2
http://dbpedia.org/resource/Matn_District,0,0,1,1,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Et-Teffaha,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Et-Teffaha,4,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/MiniyehâDanniyeh_District,1,0,0,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Et-Tineh-Miniyeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Et-Tineh-Miniyeh,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,1,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Ez-Zeit,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Ez-Zeit,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Ez-Zeitouneh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ez-Zeitouneh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,0,0,0,1,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Fraidis,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Fraidis,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Beqaa_Governorate,0,0,0,0,1,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Harsha,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Harsha,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,2
http://dbpedia.org/resource/Bint_Jbeil_District,0,0,1,1,1,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Ibl,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ibl,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Hasbaya_District,0,0,0,1,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Jarfa,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Jarfa,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,2
http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,2,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Jrain,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Jrain,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Byblos_District,0,1,0,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Kfaa,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Kfaa,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Kfar+Zabad,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Kfar Zabad,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Ksour,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ksour,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,4
http://dbpedia.org/resource/Baabda_District,1,0,0,0,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Mouaffaq,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Mouaffaq,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,3
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,1,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Ouzain,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ouzain,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Qana,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Qana,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,0,1,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Qania,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Qania,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,5
http://dbpedia.org/resource/Hasbaya_District,1,0,0,1,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Qinia,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Qinia,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Saadeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Saadeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,0,1,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Tinta,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Tinta,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,0,0,0,1,0,2,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Traz,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Traz,6,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,1,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Yaaqoub,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Yaaqoub,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Western_Beqaa_District,0,0,0,0,1,6,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Zebdeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Zebdeh,7,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,3,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+Zhalta,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Zhalta,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Byblos_District,1,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aain+challal,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain challal,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,1,0,0,0,0,2,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aainbal,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aainbal,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,1,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aaita+Ej-Jabal,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaita Ej-Jabal,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,2
https://dbpedia.org/page/Akkar_Governorate,1,0,1,0,1,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aaiyat,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaiyat,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aajaltoun,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aajaltoun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,0,0,0,1,20,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aakkar+El-Aatiqa,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aakkar El-Aatiqa,50,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,200
http://dbpedia.org/resource/Aley_District,0,0,0,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aaley,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaley,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,0,0,1,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aaley+Bsatine,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaley Bsatine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/ZahlÃ©_District,0,1,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aali+En-Nahri,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aali En-Nahri,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Zgharta_District,0,0,1,1,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aalma,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aalma,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Tyre_District,0,0,0,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aalma+Ech-Chaab,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aalma Ech-Chaab,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Marjeyoun_District,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aalman,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aalman,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aalmane+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aalmane Ech-Chouf,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,1,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aamaret+El-Baykat,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aamaret El-Baykat,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0,0,0,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aamayer,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aamayer,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Byblos_District,0,0,0,1,1,3,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aamchit,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aamchit,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,1,0,0,0,0,115,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aammatour,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aammatour,250,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/Western_Beqaa_District,1,0,1,0,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aammiq+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aammiq Ech-Chouf,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
http://dbpedia.org/resource/Western_Beqaa_District,0,0,0,0,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aana,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aana,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1,0,0,0,1,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aandqet,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aandqet,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,0
http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,0,1,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aanjar+%28Haouch+Moussa%29,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aanjar (Haouch Moussa),1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,1
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Water-Resources-Aanout,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aanout,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Water_resources-Lebanon-2023,4
